url,city,deal_type,object_type,rooms,floor,floors_total,area_m2,price,currency,price_per_m2,creation_date,images_folder_url,urgent_tag
https://edc.sale/ru/voronezh/real-estate/sale/apartments/2/2-komn-kv-1412-m2-78-etazh-2134876.html,Voronezh,sell,apartments,2.0,7.0,8.0,141.2,26122000.0,RUB,185000.00000000003,15.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/novosibirsk/real-estate/rent/one-day/rooms/hostel-dk-2134848.html,Novosibirsk,rent,rooms,,,,19.0,1500.0,RUB,78.94736842105263,15.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/slancy/real-estate/sale/apartments/2/2-komn-kv-622-m2-22-etazh-2134831.html,Slancy,sell,apartments,2.0,2.0,2.0,62.2,1900000.0,RUB,30546.623794212217,15.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/moskva/real-estate/sale/apartments/2/2-komn-kv-561-m2-48-etazh-2134745.html,Moskva,sell,apartments,2.0,4.0,8.0,56.1,29000000.0,RUB,516934.04634581105,15.09.2025,https://edc.sale/files/images/items/2134/,True
https://edc.sale/ru/sochi/real-estate/rent/apartments/studio/kvartira-studija-26-m2-1112-etazh-2134732.html,Sochi,rent,apartments,1.0,11.0,12.0,26.0,30000.0,RUB,1153.8461538461538,15.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/nizhnevartovsk/real-estate/rent/one-day/apartments/kvartira-s-panoramnym-vidom-na-gorod-2134705.html,Nizhnevartovsk,rent,apartments,,16.0,,,3500.0,RUB,,15.09.2025,https://edc.sale/files/images/items/2134/,True
https://edc.sale/ru/nizhnevartovsk/real-estate/rent/one-day/apartments/ujutnaja-kvartira-posutochno-2134703.html,Nizhnevartovsk,rent,apartments,,,,,2800.0,RUB,,14.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/moskva/real-estate/rent/one-day/apartments/arenda-studii-2134700.html,Moskva,rent,apartments,1.0,,,,10000.0,RUB,,14.09.2025,https://edc.sale/files/images/items/2134/,True
https://edc.sale/ru/sochi/real-estate/sale/houses/dom-3-et-308-m2-7-sot-2134684.html,Sochi,sell,houses,,,3.0,308.0,35000000.0,RUB,113636.36363636363,14.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/krasnojarsk/real-estate/sale/houses/dom-3-et-385-m2-125-sot-2134674.html,Krasnojarsk,sell,houses,,,3.0,385.0,10500000.0,RUB,27272.727272727272,14.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/lobna/real-estate/rent/apartments/studio/kvartira-studija-25-m2-117-etazh-2134667.html,Lobna,rent,apartments,1.0,1.0,17.0,25.0,3500.0,RUB,140.0,14.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/taganrog/real-estate/sale/apartments/2/2-komn-kv-4342-m2-33-etazh-2134580.html,Taganrog,sell,apartments,2.0,3.0,3.0,43.42,3000000.0,RUB,69092.58406264395,13.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/lubercy/real-estate/sale/rooms/komnata-11-m2-25-etazh-2134520.html,Lubercy,sell,rooms,1.0,2.0,5.0,11.0,2780000.0,RUB,252727.27272727274,12.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/uglich/real-estate/sale/apartments/1/1-komn-kv-32-m2-44-etazh-2134488.html,Uglich,sell,apartments,1.0,4.0,4.0,32.0,3700000.0,RUB,115625.0,12.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/podolsk/real-estate/commercial/rent/manufacturing/proivodstvennoje-pomeshhenije-2134452.html,Podolsk,rent,manufacturing,,1.0,,1500.0,900000.0,RUB,600.0,12.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/samara/real-estate/sale/land/uchastok-31-5-ga-dla-skh-proizvodstva-samarskaja-obl-koshkinskij-r-sbromanovka-2134447.html,Samara,sell,land,,,,315000.0,2999999.0,RUB,9.52380634920635,12.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/sertolovo/real-estate/sale/houses/dom-2-et-229-m2-1525-sot-2134443.html,Sertolovo,sell,houses,,,2.0,229.0,35000000.0,RUB,152838.42794759825,12.09.2025,https://edc.sale/files/images/items/2134/,True
https://edc.sale/ru/velikij-novgorod/real-estate/sale/land/prodazha-uchastka-s-domom-2134415.html,Velikij Novgorod,sell,land,,,,1500.0,300.0,RUB,0.2,11.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/vyrica/real-estate/sale/houses/dom-1-et-90-m2-63-sot-2134385.html,Vyrica,sell,houses,,,1.0,90.0,2500000.0,RUB,27777.777777777777,11.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/kaliningrad/real-estate/sale/houses/dom-2-et-95-m2-5-sot-2134384.html,Kaliningrad,sell,houses,,,2.0,95.0,7900000.0,RUB,83157.8947368421,11.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/domodedovo/real-estate/sale/houses/dom-2-et-1646-m2-76-sot-2134325.html,Domodedovo,sell,houses,,,2.0,164.6,11500000.0,RUB,69866.34264884569,11.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/krasnodar/real-estate/sale/apartments/studio/kvartira-studija-385-m2-14-etazh-2134268.html,Krasnodar,sell,apartments,1.0,1.0,4.0,38.5,1700000.0,RUB,44155.844155844155,10.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/lubercy/real-estate/commercial/rent/storage/sobstvennik-sdajet-sklad-540-kvm-1260-kvm-2134219.html,Lubercy,rent,storage,,,,540.0,1350.0,RUB,2.5,10.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/moskva/real-estate/sale/houses/dom-1-et-100-m2-6-sot-2134181.html,Moskva,sell,houses,,,1.0,100.0,8500000.0,RUB,85000.0,10.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/moskva/real-estate/sale/houses/dom-1-et-140-m2-48-sot-2134178.html,Moskva,sell,houses,,,1.0,140.0,17900000.0,RUB,127857.14285714286,10.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/moskva/real-estate/sale/houses/dom-2-et-130-m2-6-sot-2134173.html,Moskva,sell,houses,,,2.0,130.0,14950000.0,RUB,115000.0,10.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/bransk/real-estate/sale/apartments/1/1-komn-kv-281-m2-12-etazh-2134140.html,Bransk,sell,apartments,1.0,1.0,2.0,28.1,1500000.0,RUB,53380.78291814946,10.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/ufa/real-estate/sale/houses/dom-2-et-40-m2-4-sot-2134069.html,Ufa,sell,houses,,,2.0,40.0,700000.0,RUB,17500.0,09.09.2025,https://edc.sale/files/images/items/2134/,False
